reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwidth_min,wwidth_q1,wwidth_q5,wwidth_q25,wwidth_q50,wwidth_avg,wwidth_q75,wwidth_q95,wwidth_q99,wwidth_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
179.000,0.016,0.020,0.021,0.025,0.029,0.036,0.038,0.073,0.118,0.269,1.031,1.040,1.043,1.050,1.059,1.071,1.076,1.147,1.237,1.539,174.514,257.043,290.946,372.986,492.032,789.315,761.379,2259.437,5029.236,20306.000,0.002,0.003,0.003,0.005,0.006,0.006,0.007,0.007,0.008,0.009,0.127,0.148,0.155,0.171,0.190,0.209,0.224,0.334,0.442,0.690
18.000,0.032,0.040,0.043,0.050,0.059,0.072,0.077,0.147,0.235,0.513,1.063,1.080,1.086,1.100,1.118,1.144,1.154,1.294,1.469,2.027,215.356,318.986,361.060,462.868,610.639,980.034,944.901,2802.479,6242.100,25256.676,0.003,0.005,0.006,0.009,0.010,0.010,0.011,0.012,0.013,0.015,0.077,0.089,0.093,0.102,0.113,0.124,0.133,0.194,0.251,0.378
180.000,0.018,0.023,0.025,0.029,0.034,0.042,0.045,0.086,0.139,0.315,1.037,1.046,1.050,1.058,1.069,1.084,1.089,1.172,1.277,1.629,174.662,257.053,290.946,372.989,492.060,789.312,761.417,2259.672,5030.332,20300.865,0.002,0.003,0.004,0.006,0.007,0.007,0.008,0.009,0.009,0.011,0.108,0.126,0.132,0.145,0.161,0.177,0.190,0.282,0.371,0.571
181.000,0.025,0.032,0.034,0.040,0.047,0.058,0.061,0.119,0.194,0.445,1.050,1.063,1.068,1.079,1.094,1.115,1.123,1.239,1.389,1.890,179.713,264.469,299.309,383.716,506.216,812.178,783.332,2324.568,5174.317,20882.199,0.003,0.004,0.006,0.008,0.010,0.009,0.011,0.012,0.012,0.014,0.082,0.094,0.099,0.108,0.120,0.131,0.140,0.202,0.259,0.378
182.000,0.105,0.126,0.133,0.149,0.170,0.193,0.208,0.340,0.483,0.870,1.210,1.251,1.266,1.299,1.340,1.386,1.415,1.679,1.966,2.741,185.714,271.896,307.673,394.457,520.348,834.860,805.081,2387.974,5320.210,21474.463,0.008,0.013,0.019,0.031,0.038,0.037,0.044,0.049,0.052,0.062,0.019,0.022,0.024,0.027,0.030,0.035,0.037,0.061,0.086,0.153
183.000,0.020,0.025,0.027,0.031,0.037,0.045,0.048,0.092,0.150,0.343,1.039,1.049,1.053,1.062,1.073,1.089,1.095,1.184,1.299,1.686,185.555,271.890,307.673,394.452,520.353,834.858,805.158,2388.205,5315.822,21478.490,0.002,0.003,0.004,0.006,0.007,0.007,0.008,0.009,0.009,0.011,0.108,0.125,0.131,0.144,0.160,0.175,0.188,0.276,0.359,0.542
184.000,0.125,0.151,0.161,0.182,0.209,0.239,0.258,0.428,0.611,1.100,1.250,1.302,1.322,1.364,1.418,1.477,1.516,1.856,2.223,3.200,196.488,286.760,324.400,415.935,548.703,880.257,848.876,2518.305,5607.150,22640.816,0.010,0.018,0.024,0.038,0.046,0.044,0.052,0.058,0.061,0.072,0.016,0.019,0.020,0.022,0.025,0.028,0.030,0.048,0.066,0.114
185.000,0.116,0.140,0.149,0.169,0.194,0.222,0.239,0.398,0.570,1.029,1.231,1.280,1.298,1.338,1.387,1.443,1.479,1.797,2.141,3.058,207.645,301.507,341.126,437.401,577.031,925.462,892.720,2648.604,5897.997,23800.814,0.009,0.015,0.021,0.033,0.040,0.038,0.045,0.050,0.053,0.062,0.019,0.022,0.023,0.026,0.029,0.033,0.035,0.055,0.077,0.133
186.000,0.118,0.139,0.148,0.165,0.187,0.212,0.228,0.370,0.523,0.935,1.235,1.279,1.295,1.330,1.374,1.424,1.456,1.739,2.047,2.869,207.826,301.571,341.126,437.404,576.987,925.471,892.726,2648.991,5895.962,23805.496,0.008,0.014,0.019,0.031,0.039,0.037,0.044,0.050,0.053,0.063,0.018,0.022,0.023,0.026,0.030,0.034,0.037,0.061,0.086,0.153
187.000,0.019,0.024,0.026,0.030,0.035,0.043,0.046,0.089,0.146,0.338,1.038,1.048,1.052,1.060,1.071,1.087,1.092,1.179,1.291,1.675,207.880,301.566,341.126,437.443,576.968,925.469,892.691,2649.009,5896.083,23806.441,0.002,0.003,0.004,0.005,0.006,0.006,0.007,0.008,0.008,0.009,0.124,0.143,0.150,0.165,0.183,0.200,0.215,0.316,0.411,0.613
188.000,0.143,0.173,0.185,0.211,0.244,0.284,0.306,0.529,0.783,1.526,1.285,1.347,1.370,1.423,1.489,1.568,1.612,2.058,2.567,4.052,206.339,301.613,341.126,437.431,577.032,925.475,892.797,2647.967,5891.778,23803.080,0.015,0.024,0.031,0.045,0.053,0.051,0.059,0.064,0.067,0.080,0.015,0.017,0.018,0.020,0.022,0.024,0.026,0.038,0.049,0.076
189.000,0.141,0.171,0.183,0.209,0.241,0.280,0.302,0.522,0.775,1.516,1.282,1.342,1.365,1.417,1.482,1.561,1.604,2.044,2.549,4.032,206.244,301.619,341.126,437.432,577.026,925.476,892.776,2647.664,5891.929,23802.953,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.015,0.017,0.018,0.020,0.022,0.025,0.026,0.039,0.050,0.092
19.000,0.024,0.031,0.033,0.039,0.046,0.056,0.059,0.114,0.182,0.405,1.049,1.062,1.067,1.077,1.091,1.111,1.119,1.227,1.365,1.811,220.470,326.392,369.424,473.588,624.736,1002.298,966.855,2867.505,6388.576,25836.848,0.002,0.003,0.004,0.007,0.008,0.007,0.008,0.009,0.010,0.011,0.103,0.119,0.125,0.137,0.152,0.167,0.179,0.263,0.344,0.527
190.000,0.027,0.035,0.038,0.043,0.051,0.061,0.066,0.120,0.181,0.355,0.255,0.270,0.275,0.287,0.302,0.321,0.331,0.439,0.562,0.910,19.546,29.525,33.454,42.872,56.559,90.791,87.542,259.606,578.748,2361.636,0.008,0.012,0.015,0.020,0.023,0.022,0.025,0.027,0.028,0.032,0.037,0.042,0.044,0.047,0.051,0.055,0.058,0.079,0.097,0.139
191.000,0.018,0.023,0.025,0.029,0.034,0.041,0.044,0.083,0.128,0.260,0.236,0.247,0.250,0.258,0.269,0.282,0.289,0.365,0.456,0.720,24.461,36.909,41.817,53.591,70.702,113.467,109.418,324.569,723.299,2947.659,0.004,0.006,0.007,0.010,0.011,0.011,0.012,0.014,0.014,0.016,0.072,0.082,0.086,0.093,0.102,0.110,0.117,0.162,0.201,0.287
192.000,0.031,0.039,0.042,0.049,0.058,0.068,0.074,0.134,0.202,0.393,0.262,0.279,0.285,0.298,0.315,0.337,0.348,0.467,0.603,0.986,48.897,73.818,83.634,107.181,141.402,226.937,218.845,649.000,1447.503,5898.747,0.004,0.006,0.007,0.009,0.010,0.010,0.011,0.012,0.013,0.015,0.080,0.091,0.095,0.102,0.111,0.118,0.126,0.169,0.208,0.294
193.000,0.043,0.054,0.058,0.067,0.079,0.093,0.101,0.179,0.264,0.477,0.285,0.308,0.316,0.334,0.357,0.385,0.401,0.558,0.727,1.155,49.013,73.835,83.634,107.181,141.398,226.937,218.843,649.226,1445.867,5883.048,0.005,0.008,0.010,0.014,0.016,0.015,0.017,0.018,0.019,0.021,0.055,0.062,0.065,0.069,0.075,0.080,0.084,0.111,0.138,0.212
194.000,0.014,0.018,0.019,0.023,0.027,0.032,0.035,0.067,0.108,0.250,1.028,1.036,1.039,1.045,1.053,1.065,1.069,1.134,1.217,1.500,83.049,125.141,141.755,181.667,239.665,384.698,370.922,1100.407,2453.381,9981.691,0.003,0.005,0.006,0.010,0.011,0.011,0.013,0.014,0.015,0.017,0.068,0.079,0.083,0.092,0.102,0.112,0.120,0.180,0.238,0.371
195.000,0.027,0.034,0.037,0.043,0.051,0.061,0.066,0.125,0.199,0.435,1.054,1.069,1.074,1.086,1.101,1.123,1.131,1.249,1.397,1.869,122.083,183.832,208.240,266.871,352.068,565.008,544.909,1616.578,3603.503,14657.274,0.004,0.007,0.009,0.013,0.015,0.015,0.017,0.018,0.019,0.023,0.052,0.060,0.063,0.070,0.077,0.085,0.091,0.134,0.176,0.273
196.000,0.015,0.020,0.021,0.025,0.029,0.036,0.038,0.073,0.119,0.275,1.031,1.039,1.042,1.049,1.058,1.071,1.076,1.147,1.238,1.549,122.237,183.836,208.240,266.871,352.081,565.007,544.858,1616.596,3599.840,14638.960,0.002,0.004,0.005,0.007,0.009,0.008,0.009,0.010,0.011,0.013,0.091,0.107,0.112,0.123,0.137,0.150,0.161,0.239,0.315,0.486
197.000,0.090,0.109,0.116,0.130,0.148,0.169,0.181,0.297,0.425,0.778,1.181,1.219,1.232,1.261,1.296,1.338,1.363,1.595,1.850,2.557,142.519,213.339,241.693,309.743,408.661,655.832,632.439,1876.402,4177.778,16960.736,0.008,0.014,0.021,0.034,0.042,0.040,0.048,0.054,0.057,0.069,0.017,0.020,0.022,0.024,0.028,0.032,0.034,0.057,0.080,0.142
198.000,0.025,0.032,0.035,0.040,0.048,0.058,0.062,0.121,0.198,0.458,1.050,1.064,1.069,1.080,1.095,1.117,1.124,1.243,1.397,1.916,152.520,228.118,258.420,331.179,436.921,701.143,676.347,2007.612,4466.451,18127.352,0.004,0.005,0.007,0.010,0.011,0.011,0.013,0.014,0.014,0.017,0.069,0.080,0.084,0.092,0.102,0.111,0.119,0.171,0.219,0.316
199.000,0.115,0.138,0.147,0.165,0.187,0.212,0.228,0.372,0.528,0.954,1.229,1.277,1.293,1.329,1.374,1.425,1.457,1.744,2.056,2.908,226.681,338.901,383.871,491.970,649.080,1041.591,1004.639,2981.457,6635.213,26932.949,0.007,0.012,0.017,0.028,0.034,0.033,0.039,0.044,0.047,0.056,0.021,0.025,0.027,0.030,0.034,0.039,0.042,0.068,0.096,0.168
2.000,0.017,0.021,0.023,0.026,0.031,0.038,0.040,0.076,0.117,0.241,0.233,0.242,0.246,0.253,0.262,0.275,0.281,0.351,0.435,0.681,24.271,36.637,41.510,53.197,70.182,112.624,108.614,322.120,718.445,2927.839,0.004,0.005,0.006,0.009,0.010,0.010,0.011,0.012,0.013,0.015,0.079,0.091,0.095,0.103,0.113,0.121,0.130,0.180,0.224,0.321
20.000,0.021,0.026,0.028,0.033,0.039,0.047,0.050,0.097,0.156,0.353,1.041,1.052,1.056,1.065,1.077,1.094,1.100,1.193,1.312,1.705,220.649,326.345,369.424,473.584,624.752,1002.308,966.658,2867.765,6389.016,25828.314,0.002,0.003,0.004,0.005,0.006,0.006,0.007,0.008,0.008,0.010,0.122,0.142,0.148,0.163,0.181,0.199,0.213,0.315,0.412,0.630
200.000,0.031,0.040,0.043,0.050,0.059,0.073,0.077,0.151,0.247,0.571,1.062,1.079,1.086,1.100,1.118,1.145,1.155,1.302,1.494,2.141,227.008,338.944,383.871,491.959,649.076,1041.588,1004.450,2982.431,6636.862,26917.750,0.003,0.005,0.006,0.008,0.010,0.009,0.011,0.012,0.012,0.014,0.082,0.095,0.100,0.109,0.121,0.131,0.140,0.199,0.250,0.349
201.000,0.081,0.105,0.114,0.134,0.160,0.194,0.211,0.398,0.607,1.173,1.163,1.211,1.229,1.269,1.321,1.388,1.422,1.795,2.213,3.346,237.760,353.699,400.598,513.409,677.363,1086.888,1048.322,3109.733,6931.167,28057.789,0.009,0.014,0.018,0.024,0.027,0.027,0.030,0.032,0.033,0.037,0.031,0.035,0.037,0.039,0.042,0.045,0.048,0.065,0.083,0.128
202.000,0.138,0.167,0.178,0.201,0.230,0.264,0.284,0.473,0.679,1.230,1.276,1.335,1.356,1.402,1.460,1.526,1.568,1.946,2.357,3.460,273.262,405.406,459.141,588.518,776.371,1246.016,1201.387,3563.032,7936.304,32141.381,0.009,0.014,0.020,0.030,0.036,0.035,0.041,0.046,0.048,0.057,0.020,0.024,0.025,0.028,0.032,0.036,0.038,0.059,0.081,0.136
203.000,0.118,0.144,0.154,0.175,0.201,0.232,0.251,0.425,0.616,1.133,1.236,1.289,1.308,1.350,1.403,1.465,1.502,1.851,2.233,3.266,279.178,412.827,467.505,599.210,790.560,1268.627,1223.424,3629.011,8083.817,32743.264,0.007,0.012,0.017,0.026,0.031,0.029,0.034,0.038,0.040,0.047,0.025,0.029,0.031,0.034,0.038,0.042,0.045,0.070,0.094,0.157
204.000,0.095,0.118,0.126,0.144,0.167,0.195,0.210,0.364,0.535,1.001,1.191,1.236,1.253,1.289,1.335,1.389,1.421,1.729,2.069,3.003,309.552,457.229,517.685,663.594,875.413,1404.562,1354.804,4019.103,8949.879,36245.531,0.006,0.009,0.012,0.019,0.022,0.021,0.025,0.027,0.029,0.034,0.034,0.040,0.042,0.047,0.052,0.058,0.062,0.094,0.127,0.210
205.000,0.039,0.049,0.053,0.062,0.073,0.088,0.094,0.179,0.285,0.612,1.078,1.098,1.106,1.123,1.145,1.176,1.188,1.359,1.570,2.223,309.957,457.180,517.685,663.518,875.409,1404.560,1354.644,4019.783,8947.937,36261.309,0.003,0.004,0.005,0.008,0.009,0.009,0.010,0.011,0.011,0.013,0.089,0.103,0.108,0.118,0.131,0.142,0.153,0.221,0.284,0.428
206.000,0.023,0.029,0.032,0.037,0.043,0.053,0.056,0.108,0.174,0.393,1.046,1.059,1.063,1.073,1.087,1.105,1.113,1.216,1.349,1.787,315.062,464.580,526.049,674.271,889.577,1427.021,1376.510,4085.199,9092.522,36847.102,0.001,0.002,0.003,0.004,0.005,0.005,0.006,0.006,0.006,0.008,0.154,0.179,0.188,0.206,0.229,0.251,0.269,0.396,0.516,0.782
207.000,0.035,0.044,0.048,0.056,0.066,0.082,0.087,0.172,0.284,0.674,1.070,1.088,1.095,1.111,1.132,1.163,1.173,1.343,1.567,2.347,315.177,464.566,526.049,674.306,889.567,1427.012,1376.570,4084.563,9096.309,36847.594,0.003,0.004,0.005,0.007,0.008,0.008,0.009,0.009,0.010,0.011,0.102,0.117,0.122,0.134,0.147,0.158,0.170,0.236,0.291,0.381
208.000,0.248,0.297,0.315,0.355,0.406,0.462,0.499,0.817,1.151,2.026,1.495,1.593,1.630,1.711,1.812,1.924,1.998,2.633,3.302,5.052,765.767,1106.645,1250.888,1604.589,2116.657,3394.768,3275.374,9707.564,21579.556,87114.688,0.007,0.011,0.015,0.023,0.027,0.026,0.030,0.033,0.035,0.040,0.029,0.033,0.035,0.039,0.043,0.047,0.051,0.076,0.101,0.165
209.000,0.250,0.297,0.314,0.353,0.402,0.456,0.491,0.798,1.122,1.974,1.500,1.594,1.629,1.707,1.803,1.911,1.982,2.595,3.245,4.949,773.031,1113.861,1259.252,1615.386,2130.808,3417.458,3296.793,9774.505,21724.040,87676.727,0.007,0.011,0.015,0.022,0.026,0.025,0.030,0.033,0.035,0.040,0.029,0.034,0.035,0.039,0.044,0.049,0.052,0.079,0.106,0.174
21.000,0.030,0.038,0.041,0.047,0.056,0.068,0.073,0.140,0.225,0.502,1.060,1.076,1.082,1.095,1.112,1.137,1.146,1.280,1.450,2.004,230.587,341.133,386.151,495.030,653.055,1047.674,1010.425,2997.665,6677.633,26998.070,0.003,0.004,0.005,0.008,0.009,0.009,0.010,0.011,0.012,0.013,0.087,0.101,0.106,0.116,0.128,0.140,0.150,0.219,0.282,0.417
210.000,0.235,0.278,0.294,0.331,0.376,0.428,0.461,0.753,1.065,1.888,1.469,1.556,1.589,1.662,1.753,1.856,1.922,2.506,3.130,4.776,774.081,1114.098,1259.252,1615.375,2130.896,3417.432,3297.155,9777.093,21728.778,87659.367,0.006,0.010,0.014,0.020,0.024,0.023,0.027,0.030,0.032,0.037,0.031,0.036,0.038,0.043,0.048,0.053,0.057,0.086,0.115,0.187
211.000,0.206,0.245,0.260,0.293,0.335,0.384,0.413,0.688,0.984,1.772,1.411,1.490,1.520,1.586,1.670,1.768,1.827,2.375,2.968,4.544,773.807,1113.958,1259.252,1615.428,2130.950,3417.423,3297.535,9770.530,21750.795,87640.297,0.006,0.009,0.012,0.018,0.021,0.020,0.023,0.026,0.027,0.032,0.036,0.042,0.045,0.050,0.055,0.061,0.066,0.098,0.130,0.207
212.000,0.141,0.175,0.188,0.218,0.256,0.301,0.328,0.582,0.860,1.609,1.282,1.350,1.376,1.436,1.512,1.603,1.656,2.165,2.720,4.218,816.009,1165.820,1317.796,1690.566,2230.011,3575.872,3450.681,10227.079,22753.110,91655.523,0.005,0.007,0.009,0.013,0.014,0.014,0.016,0.017,0.018,0.020,0.059,0.066,0.069,0.074,0.081,0.087,0.092,0.129,0.165,0.254
213.000,0.211,0.247,0.261,0.292,0.330,0.372,0.400,0.640,0.899,1.605,1.422,1.494,1.522,1.583,1.659,1.744,1.799,2.280,2.797,4.209,828.507,1180.789,1334.523,1712.172,2258.314,3620.893,3494.766,10355.158,23019.089,92708.664,0.005,0.007,0.010,0.016,0.019,0.019,0.022,0.025,0.026,0.031,0.038,0.045,0.047,0.053,0.060,0.067,0.073,0.115,0.157,0.258
214.000,0.077,0.096,0.103,0.120,0.143,0.174,0.187,0.361,0.576,1.226,1.154,1.191,1.206,1.240,1.285,1.349,1.374,1.723,2.152,3.451,845.402,1203.121,1359.613,1744.391,2300.759,3688.845,3560.662,10550.688,23451.442,94419.680,0.003,0.004,0.005,0.006,0.007,0.007,0.008,0.008,0.009,0.010,0.119,0.134,0.139,0.151,0.164,0.175,0.187,0.249,0.300,0.403
215.000,0.237,0.280,0.297,0.334,0.380,0.430,0.464,0.750,1.050,1.836,1.474,1.561,1.594,1.668,1.760,1.861,1.929,2.500,3.099,4.672,893.234,1269.751,1434.884,1841.060,2428.118,3892.480,3757.720,11131.762,24745.359,99580.086,0.005,0.009,0.012,0.018,0.022,0.021,0.024,0.027,0.028,0.033,0.035,0.041,0.043,0.048,0.054,0.060,0.064,0.099,0.134,0.222
216.000,0.209,0.248,0.263,0.296,0.337,0.382,0.412,0.669,0.939,1.663,1.418,1.496,1.525,1.591,1.673,1.764,1.824,2.338,2.879,4.326,893.768,1269.869,1434.885,1841.177,2428.249,3892.445,3757.612,11137.848,24721.891,99556.711,0.004,0.007,0.010,0.015,0.019,0.018,0.021,0.023,0.024,0.028,0.041,0.048,0.050,0.056,0.063,0.070,0.075,0.116,0.158,0.261
217.000,0.157,0.187,0.198,0.223,0.254,0.289,0.311,0.508,0.720,1.336,1.315,1.373,1.396,1.446,1.508,1.579,1.623,2.017,2.440,3.671,893.546,1269.926,1434.885,1841.130,2428.217,3892.436,3757.513,11135.577,24722.319,99550.492,0.001,0.001,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.057,0.067,0.070,0.079,0.089,0.099,0.107,0.169,0.232,0.371
218.000,0.034,0.043,0.046,0.054,0.063,0.074,0.080,0.144,0.213,0.388,0.267,0.286,0.293,0.307,0.326,0.348,0.361,0.488,0.626,0.977,33.891,51.308,58.121,74.486,98.269,157.720,152.113,451.152,1005.315,4115.132,0.003,0.005,0.007,0.009,0.010,0.010,0.011,0.012,0.012,0.014,0.050,0.057,0.059,0.064,0.069,0.074,0.078,0.106,0.133,0.209
219.000,0.030,0.039,0.041,0.048,0.056,0.066,0.071,0.125,0.189,0.373,0.260,0.277,0.283,0.296,0.312,0.331,0.342,0.449,0.577,0.946,33.882,51.307,58.121,74.486,98.272,157.719,152.112,451.185,1005.147,4115.288,0.002,0.003,0.003,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.057,0.065,0.068,0.073,0.080,0.086,0.092,0.130,0.160,0.224
22.000,0.032,0.041,0.044,0.051,0.061,0.075,0.079,0.155,0.252,0.571,1.064,1.082,1.088,1.103,1.122,1.149,1.159,1.310,1.504,2.143,230.910,341.139,386.151,495.023,653.014,1047.680,1010.510,2997.835,6681.174,26983.770,0.003,0.005,0.006,0.008,0.010,0.010,0.011,0.012,0.012,0.014,0.081,0.093,0.098,0.107,0.118,0.128,0.137,0.195,0.246,0.349
220.000,0.023,0.029,0.031,0.036,0.042,0.051,0.055,0.101,0.155,0.309,0.245,0.258,0.262,0.272,0.285,0.302,0.310,0.402,0.509,0.819,43.897,66.449,75.270,96.463,127.263,204.255,196.991,584.264,1301.768,5326.718,0.003,0.004,0.005,0.007,0.008,0.008,0.009,0.010,0.010,0.011,0.101,0.117,0.121,0.132,0.144,0.154,0.164,0.224,0.276,0.393
221.000,0.036,0.046,0.050,0.058,0.067,0.080,0.086,0.156,0.234,0.453,0.273,0.293,0.300,0.315,0.335,0.360,0.373,0.511,0.667,1.105,43.989,66.430,75.270,96.463,127.256,204.256,196.967,584.135,1302.518,5310.741,0.006,0.008,0.009,0.013,0.014,0.014,0.015,0.017,0.017,0.019,0.060,0.068,0.070,0.076,0.082,0.087,0.093,0.123,0.150,0.209
222.000,0.141,0.168,0.177,0.196,0.220,0.243,0.262,0.394,0.524,0.849,0.482,0.536,0.554,0.593,0.640,0.686,0.723,0.989,1.248,1.897,44.367,66.441,75.270,96.463,127.267,204.256,196.966,584.444,1301.076,5282.017,0.016,0.028,0.038,0.059,0.070,0.067,0.077,0.085,0.089,0.104,0.011,0.013,0.013,0.014,0.016,0.018,0.019,0.029,0.040,0.069
223.000,0.001,0.003,0.005,0.009,0.014,0.022,0.025,0.066,0.120,0.301,0.202,0.207,0.210,0.218,0.229,0.244,0.249,0.333,0.440,0.802,-6.052,-0.705,-0.145,-0.005,0.004,0.000,0.021,0.141,0.518,25.896,-inf,-355.885,-38.057,-2.802,4.893,nan,14.579,2397.515,inf,inf,-0.006,-0.001,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.010
224.000,0.101,0.122,0.129,0.145,0.166,0.189,0.204,0.336,0.480,0.867,0.402,0.443,0.458,0.491,0.532,0.579,0.608,0.872,1.159,1.934,5.150,7.393,8.363,10.724,14.144,22.700,21.882,64.913,144.527,588.109,0.065,0.167,0.206,0.280,0.320,0.311,0.350,0.379,0.395,0.573,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.005,0.013
225.000,0.031,0.040,0.043,0.049,0.058,0.069,0.075,0.135,0.204,0.400,0.262,0.279,0.286,0.299,0.316,0.338,0.349,0.470,0.608,1.000,57.533,87.072,98.628,126.398,166.756,267.651,258.105,765.628,1705.686,6976.785,0.003,0.005,0.006,0.008,0.009,0.009,0.010,0.011,0.011,0.012,0.093,0.106,0.110,0.119,0.129,0.138,0.147,0.196,0.240,0.338
226.000,0.153,0.184,0.194,0.217,0.244,0.272,0.294,0.455,0.616,1.023,0.506,0.567,0.589,0.633,0.689,0.745,0.788,1.110,1.433,2.247,58.099,87.070,98.628,126.402,166.767,267.652,258.099,765.699,1704.706,6921.576,0.018,0.030,0.039,0.056,0.065,0.063,0.071,0.078,0.081,0.093,0.013,0.014,0.015,0.016,0.018,0.019,0.021,0.030,0.039,0.064
227.000,0.127,0.154,0.163,0.183,0.207,0.232,0.251,0.393,0.536,0.896,0.454,0.507,0.526,0.566,0.614,0.664,0.702,0.986,1.272,1.991,58.515,87.084,98.628,126.407,166.771,267.652,258.102,765.408,1706.032,6909.079,0.014,0.023,0.030,0.044,0.051,0.049,0.055,0.060,0.062,0.071,0.016,0.019,0.019,0.021,0.023,0.025,0.027,0.038,0.050,0.082
228.000,0.050,0.063,0.068,0.078,0.091,0.107,0.116,0.206,0.307,0.600,0.300,0.326,0.335,0.356,0.382,0.414,0.432,0.611,0.814,1.399,58.514,87.084,98.628,126.413,166.773,267.652,258.087,765.378,1704.786,6906.037,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.054,0.061,0.063,0.068,0.073,0.077,0.082,0.107,0.127,0.168
229.000,0.011,0.014,0.015,0.017,0.021,0.025,0.027,0.051,0.080,0.171,0.222,0.228,0.230,0.235,0.241,0.250,0.254,0.302,0.361,0.543,9.768,14.761,16.727,21.436,28.281,45.395,43.772,129.825,289.314,1181.921,0.005,0.008,0.010,0.014,0.016,0.016,0.018,0.019,0.020,0.023,0.050,0.058,0.060,0.066,0.072,0.078,0.084,0.118,0.149,0.216
23.000,0.124,0.150,0.160,0.180,0.205,0.234,0.252,0.415,0.591,1.066,1.249,1.301,1.319,1.360,1.410,1.468,1.504,1.830,2.182,3.132,236.757,348.522,394.514,505.751,667.180,1070.652,1032.396,3064.731,6816.474,27565.025,0.008,0.014,0.019,0.031,0.037,0.036,0.042,0.047,0.050,0.059,0.020,0.023,0.025,0.028,0.031,0.035,0.038,0.061,0.084,0.146
230.000,0.059,0.072,0.077,0.086,0.098,0.111,0.120,0.195,0.279,0.540,0.319,0.344,0.353,0.372,0.396,0.423,0.439,0.590,0.759,1.279,9.861,14.767,16.727,21.436,28.282,45.396,43.773,129.924,289.184,1171.887,0.003,0.005,0.006,0.009,0.011,0.010,0.012,0.013,0.014,0.016,0.007,0.009,0.009,0.010,0.011,0.012,0.013,0.020,0.025,0.034
231.000,0.003,0.006,0.008,0.013,0.019,0.027,0.030,0.077,0.136,0.333,0.205,0.213,0.216,0.226,0.237,0.254,0.261,0.353,0.472,0.865,-11.256,-1.305,-0.264,-0.009,0.007,0.000,0.038,0.259,0.948,59.625,-inf,-565.190,-49.728,-3.485,6.048,nan,18.459,885.093,inf,inf,-0.006,-0.001,-0.000,-0.000,0.000,0.000,0.000,0.000,0.001,0.012
232.000,0.007,0.009,0.010,0.012,0.014,0.017,0.018,0.034,0.055,0.121,0.215,0.219,0.220,0.223,0.228,0.234,0.236,0.269,0.310,0.443,4.886,7.381,8.363,10.718,14.140,22.698,21.886,64.920,144.671,590.738,0.005,0.008,0.010,0.015,0.017,0.017,0.019,0.021,0.022,0.026,0.038,0.044,0.046,0.050,0.056,0.061,0.065,0.094,0.120,0.176
233.000,0.010,0.012,0.013,0.015,0.018,0.022,0.024,0.046,0.073,0.163,0.219,0.225,0.227,0.231,0.236,0.244,0.248,0.291,0.347,0.526,4.890,7.382,8.363,10.718,14.140,22.698,21.886,64.906,144.753,589.677,0.006,0.008,0.011,0.015,0.017,0.017,0.019,0.021,0.022,0.025,0.028,0.033,0.034,0.038,0.041,0.045,0.048,0.067,0.084,0.116
234.000,0.172,0.205,0.216,0.240,0.269,0.299,0.321,0.492,0.668,1.166,0.543,0.610,0.632,0.680,0.738,0.797,0.842,1.183,1.536,2.531,72.735,109.211,123.699,158.527,209.164,335.602,323.654,960.511,2138.056,8680.143,0.018,0.027,0.035,0.052,0.060,0.058,0.067,0.073,0.076,0.088,0.013,0.015,0.016,0.017,0.019,0.021,0.022,0.033,0.043,0.064
235.000,0.146,0.173,0.182,0.201,0.225,0.251,0.268,0.412,0.571,1.072,0.492,0.546,0.564,0.603,0.650,0.701,0.736,1.023,1.341,2.345,72.944,109.193,123.699,158.528,209.150,335.601,323.723,960.608,2137.843,8669.159,0.001,0.002,0.002,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.017,0.020,0.021,0.023,0.025,0.028,0.030,0.044,0.056,0.076
236.000,0.008,0.010,0.010,0.012,0.014,0.017,0.019,0.036,0.058,0.128,0.215,0.219,0.221,0.224,0.229,0.235,0.237,0.272,0.315,0.456,4.888,7.381,8.363,10.718,14.140,22.698,21.885,64.906,144.674,590.335,0.007,0.010,0.013,0.019,0.022,0.021,0.024,0.026,0.027,0.032,0.036,0.042,0.044,0.049,0.054,0.058,0.063,0.089,0.113,0.163
