,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwidth_min,wwidth_q1,wwidth_q5,wwidth_q25,wwidth_q50,wwidth_q75,wwidth_q95,wwidth_q99,wwidth_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
mean,0.10951730769230777,0.13115961538461537,0.13927115384615393,0.1571788461538463,0.17971923076923102,0.22171538461538468,0.3733134615384616,0.5477096153846156,1.0701596153846151,0.41900769230769264,0.4623634615384618,0.4785442307692308,0.5143557692307689,0.559426923076923,0.6434403846153853,0.9465846153846147,1.295361538461538,2.3403,0.03166346153846149,0.03818653846153847,0.03992500000000008,0.0431461538461539,0.046775000000000025,0.05292115384615388,0.07087692307692313,0.08694807692307696,0.12452307692307703,-inf,-7976.41715192308,-2.1770980769230786,-0.05496538461538464,0.2500807692307694,0.6423653846153845,23.514357692307726,inf,inf,strahler1
std,0.09745926320791871,0.11292294294857794,0.11892406838422274,0.1322805330955604,0.14876589960648565,0.17900054292617998,0.2854833709992388,0.40766703410669225,0.7701260209563071,0.19492779142890396,0.22585455917329333,0.23788078077601316,0.26453000887017725,0.2975083659162024,0.3580057215071239,0.5709848340260123,0.8153213204317759,1.540242708647383,0.034697873138364956,0.03652525469821164,0.03762706347282057,0.04028455845505178,0.04349364170748187,0.048984755744930976,0.06513628994631913,0.07957347276918986,0.11023879950076466,,181430.84130133307,16.93612260689206,1.1007370182678553,1.0772943796203718,3.83963069649995,209.99816367291203,,,strahler1
min,0.001,0.003,0.005,0.006999999999999999,0.008,0.01,0.02,0.032,0.07200000000000001,0.20199999999999999,0.207,0.21,0.213,0.21600000000000003,0.221,0.239,0.264,0.344,-0.043,-0.005,-0.001,-0.0,0.0,0.0,0.0,0.0,0.001,-inf,-4137278.215,-204.419,-11.275,0.0,0.0,0.0,0.001,0.001,strahler1
1%,0.006999999999999999,0.009000000000000001,0.01,0.012,0.013999999999999999,0.018000000000000002,0.035,0.055999999999999994,0.12219,0.21419,0.21819,0.21918999999999997,0.22319,0.228,0.23619,0.27019000000000004,0.31138,0.44419000000000003,-0.026620000000000005,-0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.002,-inf,-1181.98784,-119.69770999999999,-7.94767,0.0021900000000000005,0.0021900000000000005,0.0021900000000000005,0.0021900000000000005,0.00419,strahler1
5%,0.011000000000000001,0.014950000000000001,0.016,0.018000000000000002,0.021950000000000004,0.029900000000000003,0.057,0.0919,0.20595000000000002,0.22295,0.22899999999999998,0.23195,0.23695,0.24395,0.2589,0.313,0.38284999999999997,0.61195,-0.010049999999999998,0.0,0.001,0.001,0.001,0.002,0.002,0.003,0.006999999999999999,-2645.144749999999,0.001,0.003,0.005,0.007950000000000002,0.008,0.009000000000000001,0.009000000000000001,0.01,strahler1
25%,0.03275,0.040999999999999995,0.044000000000000004,0.051,0.06,0.07775,0.14400000000000002,0.21975,0.43575,0.265,0.282,0.289,0.30275,0.32075000000000004,0.355,0.48775,0.63925,1.0715000000000001,0.006999999999999999,0.009000000000000001,0.009000000000000001,0.011000000000000001,0.012,0.013999999999999999,0.019,0.022000000000000002,0.035,0.004,0.006999999999999999,0.008,0.011000000000000001,0.013000000000000001,0.013999999999999999,0.015,0.016,0.019,strahler1
50%,0.075,0.094,0.1,0.1145,0.1335,0.16849999999999998,0.2915,0.431,0.841,0.3495,0.387,0.4005,0.4295,0.4665,0.5365,0.7829999999999999,1.0625,1.8824999999999998,0.021500000000000002,0.026000000000000002,0.028499999999999998,0.031,0.0335,0.038,0.051500000000000004,0.0635,0.087,0.006999999999999999,0.013999999999999999,0.018000000000000002,0.0245,0.0295,0.032,0.035,0.037000000000000005,0.043,strahler1
75%,0.172,0.20625000000000002,0.21899999999999997,0.24625000000000002,0.27449999999999997,0.32899999999999996,0.531,0.81275,1.622,0.5435,0.61225,0.63825,0.692,0.7489999999999999,0.8587499999999999,1.263,1.8257500000000002,3.44475,0.053,0.06,0.062,0.067,0.073,0.08199999999999999,0.11,0.13425,0.19225000000000003,0.016,0.036250000000000004,0.04925,0.0695,0.091,0.10099999999999999,0.11425,0.12025,0.14850000000000002,strahler1
95%,0.30805,0.3591499999999998,0.3821999999999998,0.4300999999999999,0.48005,0.5921,0.9365999999999994,1.3441,2.6432,0.8160499999999999,0.9182999999999997,0.9653499999999996,1.0593,1.1601,1.3851499999999999,2.073199999999999,2.8891999999999998,5.4874,0.09204999999999995,0.10504999999999995,0.11,0.11804999999999996,0.128,0.145,0.196,0.23904999999999993,0.33799999999999997,0.05404999999999996,0.21404999999999993,0.25569999999999937,0.3584499999999996,0.5383999999999995,0.5747499999999993,0.6499499999999974,1.1941999999999955,1206.3823499999983,strahler1
99%,0.3716199999999999,0.43042999999999987,0.4514299999999999,0.4976199999999999,0.5688099999999999,0.6734799999999996,1.1004299999999998,1.6182399999999997,3.02543,0.9440499999999996,1.0610499999999998,1.1028599999999997,1.1960499999999998,1.337,1.5471499999999991,2.4014799999999994,3.43648,6.251479999999999,0.13423999999999978,0.15390999999999938,0.1589099999999994,0.16952999999999926,0.18233999999999922,0.20295999999999914,0.2653899999999989,0.32200999999999885,0.4498199999999988,0.10142999999999984,0.4009599999999991,0.5606599999999954,1.1138499999999953,7.542919999999955,27.495559999999777,829.2856299999839,inf,inf,strahler1
max,0.406,0.469,0.49200000000000005,0.54,0.598,0.7090000000000001,1.203,1.751,3.2239999999999998,1.012,1.138,1.183,1.2790000000000001,1.395,1.619,2.6060000000000003,3.702,6.648,0.18,0.19899999999999998,0.20600000000000002,0.221,0.237,0.266,0.349,0.425,0.599,0.314,0.887,1.335,2.0909999999999997,9.538,34.958,3284.998,inf,inf,strahler1
count,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,strahler2
mean,0.09667465753424653,0.11650342465753408,0.1242499999999999,0.14139383561643842,0.16313356164383558,0.20419863013698622,0.35489726027397256,0.5300753424657539,1.058575342465753,1.1933013698630144,1.233065068493151,1.2484315068493135,1.2827979452054805,1.32633904109589,1.4084417808219196,1.7098013698630141,2.0601883561643834,3.1171335616438363,0.04897602739726026,0.05722260273972603,0.060133561643835605,0.0660890410958904,0.07322945205479447,0.08581506849315068,0.12500342465753428,0.16165410958904125,0.24540068493150682,-0.26264726027397256,0.014520547945205456,0.018749999999999968,0.02745547945205477,0.03264383561643833,0.03652397260273969,0.04049657534246571,0.04274315068493144,0.23196575342465756,strahler2
