,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwidth_min,wwidth_q1,wwidth_q5,wwidth_q25,wwidth_q50,wwidth_q75,wwidth_q95,wwidth_q99,wwidth_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
99%,0.3369599999999999,0.39627999999999997,0.42162,0.47964000000000007,0.552,0.6906199999999999,1.1755,1.7101,3.16378,0.6736,0.7915599999999999,0.84324,0.9589400000000001,1.10466,1.38156,2.351,3.41986,6.32756,0.22729999999999997,0.25664,0.26864,0.29464,0.3262999999999999,0.38095999999999997,0.54894,0.69894,1.0438,0.006999999999999999,0.012,0.016,0.026000000000000002,0.032,0.036000000000000004,0.040999999999999995,0.043,0.20499999999999996,strahler3
max,0.353,0.415,0.441,0.5,0.574,0.713,1.207,1.754,3.2430000000000003,0.705,0.8290000000000001,0.8809999999999999,0.9990000000000001,1.148,1.426,2.4130000000000003,3.509,6.486000000000001,0.28300000000000003,0.32,0.335,0.368,0.408,0.479,0.701,0.91,1.361,0.006999999999999999,0.012,0.017,0.027000000000000003,0.033,0.038,0.043,0.045,7.642,strahler3
count,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,strahler4
mean,0.18430158730158724,0.21547619047619046,0.229,0.25942857142857145,0.29799999999999993,0.3708730158730159,0.6424126984126985,0.9683492063492063,1.9735238095238095,3.368714285714286,3.431079365079366,3.457873015873016,3.5187619047619045,3.595793650793652,3.7417460317460303,4.2848412698412695,4.936714285714286,6.94711111111111,0.08215873015873015,0.09496825396825395,0.10033333333333332,0.11231746031746033,0.12726984126984128,0.1547777777777778,0.24838095238095242,0.3473650793650794,0.5967142857142858,0.0020952380952380966,0.003730158730158733,0.005301587301587305,0.0087936507936508,0.010936507936507944,0.01246031746031747,0.01400000000000001,0.014888888888888901,0.017333333333333343,strahler4
std,0.058476528216700296,0.06717595027188582,0.07097887009526144,0.07937268447945207,0.08998637889756857,0.1096302424815537,0.17709971994300683,0.25073390076193414,0.44240803152683283,0.11712736775193788,0.13440697725592318,0.1419009754750044,0.1589060093755683,0.1802130601699321,0.21943196228605494,0.3540030164965887,0.5013560781028702,0.8848782331231779,0.05845020112253438,0.065222193000584,0.06795040886202325,0.07378386601262205,0.08075075278770376,0.09285393393171333,0.12842965045193955,0.1581013661759036,0.20003325760349314,0.0006147195981354402,0.0010807158500697165,0.0014879615915408112,0.0025850608663123753,0.00321725697567301,0.003753816968510494,0.004246440634757081,0.004501294118975089,0.005379171299649023,strahler4
min,0.038,0.046,0.05,0.057999999999999996,0.069,0.09,0.17800000000000002,0.303,0.853,3.076,3.092,3.0989999999999998,3.116,3.137,3.18,3.3560000000000003,3.6060000000000003,4.706,0.044000000000000004,0.052000000000000005,0.055,0.062,0.071,0.08800000000000001,0.145,0.207,0.373,0.001,0.001,0.001,0.002,0.003,0.003,0.003,0.003,0.004,strahler4
1%,0.03986,0.04786,0.05186,0.06048,0.07210000000000001,0.09434,0.18730000000000002,0.31726,0.853,3.0791000000000004,3.0963399999999996,3.10334,3.1209599999999997,3.1432,3.18806,3.3746,3.6351400000000003,4.706,0.04462,0.052000000000000005,0.055,0.06262,0.07162,0.08800000000000001,0.14561999999999997,0.20823999999999998,0.37485999999999997,0.001,0.001,0.00162,0.002,0.003,0.003,0.00362,0.00362,0.004,strahler4
5%,0.051199999999999996,0.0623,0.06730000000000001,0.0785,0.09269999999999999,0.1212,0.23859999999999998,0.40370000000000006,1.1083,3.1024,3.1245999999999996,3.1347,3.156,3.1853,3.2423,3.4779999999999998,3.8083,5.2158,0.0481,0.05609999999999999,0.0601,0.068,0.07709999999999999,0.0952,0.1582,0.22640000000000002,0.40869999999999995,0.001,0.0011,0.002,0.003,0.0031,0.004,0.004,0.0041,0.005,strahler4
25%,0.162,0.189,0.20049999999999998,0.22599999999999998,0.26,0.323,0.5555,0.8475,1.6955,3.3235,3.3785000000000003,3.401,3.4515,3.52,3.6449999999999996,4.111,4.695,6.3915,0.056499999999999995,0.066,0.07,0.079,0.091,0.11199999999999999,0.1885,0.273,0.46699999999999997,0.002,0.003,0.005,0.008,0.01,0.011000000000000001,0.012,0.013000000000000001,0.015,strahler4
50%,0.192,0.22399999999999998,0.23800000000000002,0.27,0.31,0.384,0.657,1.002,2.069,3.383,3.448,3.4760000000000004,3.5389999999999997,3.6189999999999998,3.7680000000000002,4.314,5.005,7.1370000000000005,0.063,0.07400000000000001,0.078,0.08800000000000001,0.1,0.125,0.209,0.295,0.5429999999999999,0.002,0.004,0.006,0.009000000000000001,0.012,0.013000000000000001,0.015,0.016,0.018000000000000002,strahler4
75%,0.22349999999999998,0.2595,0.276,0.312,0.35850000000000004,0.444,0.7575,1.1230000000000002,2.2725,3.447,3.5195,3.5515,3.624,3.7165,3.8884999999999996,4.5145,5.245,7.545,0.075,0.088,0.093,0.10400000000000001,0.1195,0.14750000000000002,0.2505,0.352,0.653,0.002,0.004,0.006,0.01,0.013000000000000001,0.015,0.017,0.018000000000000002,0.021,strahler4
95%,0.2598,0.30269999999999997,0.3217,0.36369999999999997,0.4166000000000001,0.5175,0.8882,1.3228,2.5934,3.5195999999999996,3.6055,3.6425,3.7273000000000005,3.8333,4.035,4.7754,5.6456,8.1868,0.23009999999999997,0.2618,0.2746,0.30219999999999997,0.33569999999999994,0.39649999999999996,0.5900999999999998,0.7653999999999997,1.0659999999999996,0.003,0.005,0.006999999999999999,0.012,0.015,0.017,0.019,0.020900000000000002,0.024,strahler4
99%,0.26476,0.30876000000000003,0.32776,0.37076000000000003,0.42513999999999996,0.52752,0.9052800000000001,1.3494199999999998,2.6496,3.53014,3.6175200000000003,3.6555199999999997,3.74128,3.8502800000000006,4.05504,4.80994,5.698840000000001,8.298200000000001,0.2915400000000001,0.32906000000000013,0.3448200000000001,0.37872000000000017,0.42062000000000016,0.4944200000000002,0.7253400000000001,0.9367000000000003,1.3031800000000002,0.003,0.006,0.008,0.013000000000000001,0.016,0.019,0.021,0.022000000000000002,0.026000000000000002,strahler4
max,0.266,0.31,0.32899999999999996,0.37200000000000005,0.42700000000000005,0.53,0.909,1.355,2.662,3.532,3.62,3.658,3.745,3.8539999999999996,4.06,4.8180000000000005,5.71,8.323,0.312,0.35200000000000004,0.369,0.406,0.451,0.531,0.7829999999999999,1.008,1.341,0.003,0.006,0.008,0.013000000000000001,0.016,0.019,0.021,0.022000000000000002,0.026000000000000002,strahler4
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,strahler5
mean,0.12342857142857143,0.1442857142857143,0.15342857142857144,0.174,0.19971428571428573,0.24914285714285714,0.43442857142857144,0.658,1.3604285714285715,4.747428571428571,4.788428571428571,4.8064285714285715,4.847571428571428,4.899714285714286,4.998714285714286,5.368428571428572,5.816571428571428,7.220428571428571,0.26771428571428574,0.3055714285714286,0.3217142857142857,0.3581428571428571,0.4032857142857143,0.48628571428571427,0.7714285714285715,1.0798571428571428,1.914142857142857,0.0008571428571428572,0.0014285714285714288,0.002285714285714286,0.0032857142857142855,0.004285714285714286,0.004857142857142858,0.005571428571428572,0.0061428571428571435,0.006714285714285714,strahler5
std,0.06239619951796514,0.07106737246142866,0.07481500995312179,0.08296987405076617,0.09321787075755072,0.11201700551170578,0.1776371368294152,0.2532600771275778,0.4854097434617676,0.12462056697947467,0.14188123806298591,0.1495513926635893,0.16603398963551325,0.18665897092979875,0.22394546530030798,0.35516421419903665,0.5063466721337787,0.9707211850205077,0.279817032055898,0.31471725783781285,0.32969618048829663,0.36247916196264696,0.40283731798569106,0.475456873012935,0.7190152657495892,0.9776455439083274,1.677763633389343,0.0003779644730092272,0.0007867957924694431,0.0011126972805283737,0.0017994708216848747,0.0022886885410853173,0.002734262327610589,0.0031547394428670258,0.0034364987719368986,0.003903600291794133,strahler5
min,0.023,0.027999999999999997,0.03,0.035,0.040999999999999995,0.053,0.102,0.163,0.36700000000000005,4.547,4.556,4.56,4.57,4.582,4.607,4.704,4.827,5.234,0.10400000000000001,0.122,0.13,0.14800000000000002,0.171,0.214,0.369,0.544,1.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strahler5
1%,0.025819999999999996,0.03142,0.03371999999999999,0.03938,0.04621999999999999,0.05995999999999999,0.11615999999999999,0.18694,0.4192,4.552639999999999,4.5629,4.5674399999999995,4.5786999999999995,4.59244,4.62086,4.73226,4.87482,5.3384,0.10454,0.12265999999999999,0.13072,0.14878000000000002,0.1719,0.21519999999999997,0.3711,0.547,1.0231,6e-05,6e-05,0.00012,0.00012,0.00017999999999999998,0.00017999999999999998,0.00017999999999999998,0.00024,0.00024,strahler5
5%,0.03710000000000001,0.0451,0.048600000000000004,0.056900000000000006,0.06709999999999999,0.08779999999999999,0.1728,0.2827,0.6280000000000001,4.5752,4.5905000000000005,4.5972,4.6135,4.6342,4.6763,4.8453,5.0661000000000005,5.756,0.10670000000000002,0.1253,0.1336,0.15190000000000003,0.17550000000000002,0.22,0.37949999999999995,0.559,1.0435,0.00030000000000000003,0.00030000000000000003,0.0006000000000000001,0.0006000000000000001,0.0009000000000000002,0.0009000000000000002,0.0009000000000000002,0.0012000000000000001,0.0012000000000000001,strahler5
25%,0.0825,0.0995,0.107,0.1245,0.14650000000000002,0.19,0.3625,0.5795,1.2745,4.6655,4.699,4.7135,4.748,4.793,4.8805,5.2245,5.6594999999999995,7.0485,0.121,0.14250000000000002,0.152,0.173,0.2,0.25149999999999995,0.4345,0.6355,1.1665,0.001,0.001,0.002,0.0025,0.0035,0.0035,0.004,0.0045000000000000005,0.0045000000000000005,strahler5
50%,0.147,0.171,0.182,0.20600000000000002,0.23600000000000002,0.294,0.505,0.753,1.499,4.794,4.842,4.863,4.9110000000000005,4.9719999999999995,5.087,5.5089999999999995,6.006,7.497000000000001,0.138,0.161,0.171,0.19399999999999998,0.222,0.275,0.465,0.679,1.284,0.001,0.002,0.003,0.004,0.005,0.006,0.006999999999999999,0.006999999999999999,0.008,strahler5
75%,0.16799999999999998,0.194,0.2055,0.2305,0.262,0.32199999999999995,0.5415,0.804,1.637,4.837,4.888,4.9105,4.9615,5.025,5.1445,5.5825,6.109,7.7735,0.253,0.2855,0.2985,0.3295,0.367,0.4345,0.6585000000000001,0.895,1.536,0.001,0.002,0.003,0.0045000000000000005,0.0055,0.0065,0.0075,0.0085,0.009500000000000001,strahler5
95%,0.18879999999999997,0.21889999999999998,0.23159999999999997,0.2607,0.29679999999999995,0.36429999999999996,0.6115999999999999,0.9023,1.7989,4.8779,4.9371,4.9632000000000005,5.021000000000001,5.0939,5.2296000000000005,5.7229,6.3049,8.0978,0.7057999999999995,0.7977999999999995,0.8369999999999995,0.9238999999999994,1.0310999999999995,1.2249999999999992,1.8771999999999986,2.5693999999999986,4.460199999999997,0.001,0.002,0.003,0.005,0.006699999999999999,0.007699999999999999,0.0087,0.0097,0.010700000000000001,strahler5
99%,0.19216,0.22297999999999996,0.23591999999999996,0.26574,0.30256,0.37126,0.62312,0.9188599999999999,1.8269799999999998,4.88438,4.94502,4.971839999999999,5.030600000000001,5.105180000000001,5.24352,5.746180000000001,6.33778,8.15396,0.8483599999999998,0.9595599999999996,1.0073999999999996,1.1127799999999997,1.2430199999999996,1.4793999999999996,2.2794399999999992,3.1338799999999987,5.445639999999998,0.001,0.002,0.003,0.005,0.006939999999999998,0.00794,0.008940000000000002,0.00994,0.01094,strahler5
max,0.193,0.22399999999999998,0.237,0.267,0.304,0.373,0.626,0.9229999999999999,1.834,4.886,4.947,4.974,5.033,5.1080000000000005,5.247000000000001,5.752000000000001,6.346,8.168,0.884,1.0,1.05,1.16,1.296,1.5430000000000001,2.38,3.275,5.692,0.001,0.002,0.003,0.005,0.006999999999999999,0.008,0.009000000000000001,0.01,0.011000000000000001,strahler5
